Tool,Vulnerability,tp,fn,fp,tn,TPR (detection rate),TNR (specificity),FPR (false alarm),FNR (miss rate),Accuracy,Precision,Recall,F1,Average time per contract,Exp_,Exp,CR
Oyente,Elysium_reentrancy-eth,46,28,0,825,62.2,100.0,0.0,37.8,96.9,97.0,96.9,96.5,5.3,1,0.1,99.9
Osiris,Elysium_reentrancy-eth,69,6,0,825,92.0,100.0,0.0,8.0,99.3,99.3,99.3,99.3,63.6,0,0.0,100.0
Mythril,Elysium_reentrancy-eth,40,3,0,820,93.0,100.0,0.0,7.0,99.7,99.7,99.7,99.6,95.5,37,4.1,95.9
Mythril,Elysium_suicidal,0,819,0,44,0.0,100.0,0.0,100.0,5.1,0.3,5.1,0.5,95.5,37,4.1,95.9
eThor,Elysium_reentrancy-eth,68,0,1,1,100.0,50.0,50.0,0.0,98.6,98.6,98.6,98.3,250.0,830,92.2,7.8
DLVA,Elysium_suicidal,822,1,3,74,99.9,96.1,3.9,0.1,99.6,99.6,99.6,99.6,0.3,0,0.0,100.0
DLVA,Elysium_reentrancy-eth,74,1,4,821,98.7,99.5,0.5,1.3,99.4,99.5,99.4,99.4,0.3,0,0.0,100.0
SmartCheck,Elysium_reentrancy-eth,47,5,1,6,90.4,85.7,14.3,9.6,89.8,92.8,89.8,90.8,5.2,0,0.0,100.0
SoliAudit,Elysium_reentrancy-eth,40,11,1,0,78.4,0.0,100.0,21.6,76.9,95.7,76.9,85.3,42.4,7,11.9,88.1
SoliAudit,Elysium_suicidal,0,0,1,51,0.0,98.1,1.9,0.0,98.1,100.0,98.1,99.0,42.4,7,11.9,88.1
Slither,Elysium_reentrancy-eth,50,1,6,1,98.0,14.3,85.7,2.0,87.9,84.5,87.9,84.9,2.0,1,1.7,98.3
Slither,Elysium_suicidal,6,0,0,52,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,2.0,1,1.7,98.3
ConFuzzius,Elysium_reentrancy-eth,44,7,1,0,86.3,0.0,100.0,13.7,84.6,95.9,84.6,89.9,49.6,7,11.9,88.1
ConFuzzius,Elysium_suicidal,0,0,0,52,0.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,49.6,7,11.9,88.1
SAILFISH,Elysium_reentrancy-eth,31,16,0,6,66.0,100.0,0.0,34.0,69.8,91.8,69.8,75.3,26.0,6,10.2,89.8
Oyente,Reentrancy_reentrancy-eth,26,27,0,408,49.1,100.0,0.0,50.9,94.1,94.5,94.1,93.2,2.8,12,2.5,97.5
Osiris,Reentrancy_reentrancy-eth,51,2,3,405,96.2,99.3,0.7,3.8,98.9,98.9,98.9,98.9,13.7,12,2.5,97.5
Mythril,Reentrancy_reentrancy-eth,24,0,3,407,100.0,99.3,0.7,0.0,99.3,99.4,99.3,99.3,36.0,39,8.2,91.8
eThor,Reentrancy_reentrancy-eth,53,0,130,3,100.0,2.3,97.7,0.0,30.1,79.8,30.1,16.0,200.0,287,60.7,39.3
DLVA,Reentrancy_reentrancy-eth,50,3,0,420,94.3,100.0,0.0,5.7,99.4,99.4,99.4,99.4,0.15,0,0.0,100.0
SmartCheck,Reentrancy_reentrancy-eth,52,0,1,419,100.0,99.8,0.2,0.0,99.8,99.8,99.8,99.8,4.6,0,0.0,100.0
SoliAudit,Reentrancy_reentrancy-eth,42,10,5,327,80.8,98.5,1.5,19.2,96.1,96.0,96.1,96.0,5.3,88,18.6,81.4
Slither,Reentrancy_reentrancy-eth,51,1,0,399,98.1,100.0,0.0,1.9,99.8,99.8,99.8,99.8,0.9,21,4.4,95.6
ConFuzzius,Reentrancy_reentrancy-eth,50,2,0,309,96.2,100.0,0.0,3.8,99.4,99.4,99.4,99.4,32.2,111,23.5,76.5
SAILFISH,Reentrancy_reentrancy-eth,26,24,1,296,52.0,99.7,0.3,48.0,92.8,93.0,92.8,91.9,3.5,125,26.5,73.5
Oyente,SolidiFI_Re-entrancy,111,0,0,333,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,9.1,0,0.0,100.0
Oyente,SolidiFI_Timestamp-Dependency,1,110,19,314,0.9,94.3,5.7,99.1,70.9,56.8,70.9,62.6,9.1,0,0.0,100.0
Oyente,SolidiFI_Overflow-Underflow,99,12,267,66,89.2,19.8,80.2,10.8,37.2,70.2,37.2,34.5,9.1,0,0.0,100.0
Osiris,SolidiFI_Re-entrancy,101,10,0,333,91.0,100.0,0.0,9.0,97.7,97.8,97.7,97.7,50.9,0,0.0,100.0
